Job_Name,Company_Name,Time_Posted,Applicants,Location,Job_Type
Opening for Java Full Stack Developer,LTIMindtree,2 hours ago,55 applicants,"Pune, Maharashtra, India",Full-time
Senior Engineer â Backend (Java),PayPal,2 hours ago,114 applicants,"Bengaluru, Karnataka, India",Full-time
Sr. Software Engineer,Tech Mahindra,15 hours ago,183 applicants,"Bengaluru, Karnataka, India",Contract
Full Stack Developer JAVA,Oracle,18 hours ago,55 applicants,"Bengaluru, Karnataka, India",Full-time
Senior Java Software Engineer,idigilogic,18 hours ago,26 applicants,"Bengaluru East, Karnataka, India",Full-time
java,Tata Consultancy Services,10 hours ago,183 applicants,"Bengaluru, Karnataka, India",Part-time
"Programmer (in Canada) - $300,000/year USD",Visanswer,10 hours ago,48 applicants,"Visakhapatnam Rural mandal, India",Full-time
Software Development Engineer -II (Backend),ZET,18 hours ago,48 applicants,"Bengaluru, Karnataka, India",Contract
Java Specialist,ITC Infotech,2 hours ago,48 applicants,"Bengaluru, Karnataka, India",Full-time
"Coder (in AUS) - $300,000/year USD",Visanswer,2 hours ago,48 applicants,"Chavakkad, Kerala, India",Full-time
Data Scientist,Indigo- Interglobe Aviation Ltd,10 hours ago,26 applicants,"Gurgaon, Haryana, India",Full-time
Frontend Developer,Trackier,2 hours ago,55 applicants,"Noida, Uttar Pradesh, India",Full-time
Software Development Engineer,UST,2 hours ago,55 applicants,"Bengaluru, Karnataka, India",Full-time
Java Software Engineer,Staffi5,1 hour ago,183 applicants,"Hyderabad, Telangana, India",Full-time
Senior Java Developer,GetePay,1 hour ago,55 applicants,"Jaipur, Rajasthan, India",Part-time
"Sr. Software Engineer - Java, J2EE Job",YASH Technologies Middle East,1 hour ago,26 applicants,"Bangalore Urban, Karnataka, India",Contract
"Coder (in AUS) - $300,000/year USD",Visanswer,2 hours ago,55 applicants,"Delhi, Delhi, India",Full-time
Java FullStack Developer,TwinPacs Sdn Bhd,2 hours ago,26 applicants,"Pune, Maharashtra, India",Full-time
Customer Service Executive-Social Media,IDFC FIRST Bank,1 hour ago,183 applicants,"Navi Mumbai, Maharashtra, India",Full-time
KYC ANALYST,Equiniti,10 hours ago,157 applicants,"Bengaluru, Karnataka, India",Full-time
Senior Manager- Operations,MOVIN Express,15 hours ago,55 applicants,"Chennai, Tamil Nadu, India",Full-time
Manufacturing Process Engineer- Mechanical,Anest Iwata Motherson Pvt. Ltd.,14 hours ago,42 applicants,"Noida, Uttar Pradesh, India",Full-time
Production Manager,Usha International,11 hours ago,31 applicants,"Hyderabad, Telangana, India",Part-time
Software Development Engineer,Amazon,11 hours ago,90 applicants,"Bengaluru, Karnataka, India",Full-time
Collections Manager,Navi,19 hours ago,40 applicants,"Chandigarh, India",Full-time
Customer Care Professional- T2,American Express,11 hours ago,58 applicants,"Gurugram, Haryana, India",Contract
Product Manager â B2C,DHL eCommerce,12 hours ago,59 applicants,Mumbai Metropolitan Region,Full-time
Purchase Executive,Hilton,17 hours ago,105 applicants,Mumbai Metropolitan Region,Full-time
SDE I,Amazon,13 hours ago,32 applicants,"Hyderabad, Telangana, India",Full-time
Machine Learning Engineer,Deliveroo,12 hours ago,59 applicants,"Bengaluru, Karnataka, India",Full-time
Senior Executive-QC,Piramal Pharma Ltd,13 hours ago,83 applicants,"Mumbai, Maharashtra, India",Full-time
Consultant,HCLTech,12 hours ago,45 applicants,"Noida, Uttar Pradesh, India",Full-time
Employee Relations Manager,Visa,16 hours ago,108 applicants,"Bengaluru East, Karnataka, India",Contract
City Head,Ugaoo,10 hours ago,32 applicants,"Mumbai, Maharashtra, India",Full-time
Platform Product Manager: Internship,Whatfix,6 hours ago,83 applicants,"Bengaluru, Karnataka, India",Part-time
IND-Associate Analyst,Lowe's India,23 hours ago,44 applicants,"Bengaluru, Karnataka, India",Full-time
Production Manager,Usha International,11 hours ago,32 applicants,"Hyderabad, Telangana, India",Full-time
AI/ML Engineer - Data science,Talentgigs,21 hours ago,81 applicants,"Chennai, Tamil Nadu, India",Full-time
"Director, Data Science",Gartner,6 hours ago,173 applicants,"Gurgaon, Haryana, India",Full-time
Principal Data Scientist,First Advantage,5 hours ago,47 applicants,"Bengaluru, Karnataka, India",Full-time
Artificial Intelligence Intern,IDC India,6 hours ago,45 applicants,"Delhi, Delhi, India",Internship
Data Science Intern,Labmentix,19 hours ago,158 applicants,India,Internship
Business Analyst (Retail),More Retail Private Limited,16 hours ago,185 applicants,"Mumbai, Maharashtra, India",Full-time
Data Scientist Intern,TwiLearn,6 hours ago,57 applicants,"Noida, Uttar Pradesh, India",Internship
GPU Software Development Intern,Intel Corporation,13 hours ago,110 applicants,"Bengaluru, Karnataka, India",Full-time
Data Processing Specialist,NielsenIQ,12 hours ago,49 applicants,"Vadodara, Gujarat, India",Full-time
Automation Testing Engineer,AiFA Labs,16 hours ago,88 applicants,"Hyderabad, Telangana, India",Contract
Data Engineer,Birlasoft,17 hours ago,194 applicants,"Bengaluru, Karnataka, India",Full-time
Data Analyst Engineer,Mahindra Group,17 hours ago,31 applicants,"Pune, Maharashtra, India",Full-time
Developer,Cognizant,6 hours ago,26 applicants,"Bhubaneswar, Odisha, India",Full-time
Junior Data Scientist,Infraveo Technologies,2 weeks ago,143 applicants,"Chandigarh, Chandigarh, India",Full-time
Front end Developer intern,OptimSpace,2 weeks ago,188 applicants,"Pune, Maharashtra, India",Internship
MF-UK ESS-Associate Analyst-Hyderabad,Deloitte,16 hours ago,196 applicants,"Hyderabad, Telangana, India",Full-time
"Senior Software Engineer (Python, LLM, GEN AI)",NielsenIQ,6 hours ago,69 applicants,"Chennai, Tamil Nadu, India",Part-time
Software Engineer,Appinventiv,18 hours ago,84 applicants,"Noida, Uttar Pradesh, India",Full-time
Accounting & Reporting Analyst - General Accounting,ABB,14 hours ago,68 applicants,"Bengaluru, Karnataka, India",Part-time
Machine Learning Intern,NxtShiksha,2 weeks ago,104 applicants,"Bengaluru East, Karnataka, India",Full-time
Data Science Intern,NxtShiksha,2 weeks ago,111 applicants,"Bengaluru East, Karnataka, India",Internship
AI/ML Engineer - Data science,Talentgigs,2 weeks ago,113 applicants,"Chennai, Tamil Nadu, India",Contract
AI/ML Researcher (Exp- 6 to 10 Yrs ),Rakuten India,4 hours ago,150 applicants,"Bengaluru, Karnataka, India",Full-time
Data Scientist,LTIMindtree,6 hours ago,32 applicants,"Mumbai, Maharashtra, India",Full-time
Cyber - TDR Associate L1 India__Migrated - Associate - Operate,PwC Acceleration Centers in India,22 hours ago,45 applicants,"Bengaluru, Karnataka, India",Internship
"Regional Risk Lead, India & South Asia",Uber,6 hours ago,37 applicants,"Gurgaon, Haryana, India",Full-time
"Associate, Corporate Development and Investments",MoonPay,2 weeks ago,197 applicants,Greater Kolkata Area,Full-time
Service Desk Analyst - L2,Wipro,6 hours ago,87 applicants,"Pune, Maharashtra, India",Full-time
Shift-in-Charge - Production,Birla Carbon,2 weeks ago,103 applicants,"Gummidipoondi, Tamil Nadu, India",Full-time
"Sr. Analyst, Business Analytics",Colgate-Palmolive,14 hours ago,52 applicants,Mumbai Metropolitan Region,Full-time
Data Science Internship Opportunities: Second-Year Students,Microsoft,14 hours ago,59 applicants,"Rajasthan, India",Internship
Talent Scout - International,Dr. Reddy's Laboratories,21 hours ago,59 applicants,"Hyderabad, Telangana, India",Full-time
"UX Researcher | 4-6 Years | Mumbai, Bangalore & Delhi NCR",Capgemini,1 week ago,78 applicants,"Gurgaon, Haryana, India",Full-time
Oracle Engineer | 4 to 6 | Gurugram,Capgemini,6 days ago,35 applicants,"Gurgaon, Haryana, India",Contract
"Vision Plus Business Analyst | 6 to 12 years | Pune, Chennai & Mumbai",Capgemini,2 months ago,46 applicants,"Pune, Maharashtra, India",Full-time
AB Initio,Capgemini,2 months ago,38 applicants,"Pune, Maharashtra, India",Part-time
MSD CRM Technical Consultant | 4 to 6 Years | PAN INDIA,Capgemini,2 months ago,78 applicants,Mumbai Metropolitan Region,Full-time
Informatica | 6 to 12 years | Bangalore,Capgemini,2 months ago,63 applicants,"Pune, Maharashtra, India",Full-time
AWS Devops Engineer | 6 to 9 years | Gurugram,Capgemini,1 week ago,60 applicants,"Gurgaon, Haryana, India",Full-time
Java Developer | 5 to 6 Years | Pune & Hyderabad,Capgemini,4 days ago,78 applicants,"Pune, Maharashtra, India",Full-time
